accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN04240468	SRS1152555			B Cell					Human sample		2015-11-05	male		Blood	9606	Homo sapiens	MIV-d7-i11										
SAMN04240469	SRS1152556			B Cell					Human sample		2015-11-05	male		Blood	9606	Homo sapiens	MIV-d7-i12										
SAMN04240470	SRS1152557			B Cell					Human sample		2015-11-05	male		Blood	9606	Homo sapiens	MIV-d7-i13										
SAMN04240471	SRS1153688			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d0-i02										
SAMN04240472	SRS1153689			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d0-i04										
SAMN04240473	SRS1153732			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d0-i05										
SAMN04240474	SRS1153733			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d0-i06										
SAMN04240475	SRS1153734			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d7-i02										
SAMN04240476	SRS1153735			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d7-i04										
SAMN04240477	SRS1153738			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d7-i06										
SAMN04240478	SRS1153737			B Cell					Human sample		2015-11-06	male		Blood	9606	Homo sapiens	TIV1415-d7-i05										
SAMN04277236	SRS1168800			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	male		Blood	9606	Homo sapiens	den_A_i08										
SAMN04277237	SRS1168801			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_PC_i08										
SAMN04277238	SRS1168803			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i10										
SAMN04277239	SRS1168805			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC_i10										
SAMN04277240	SRS1168806			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A_i04										
SAMN04277241	SRS1168808			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i05										
SAMN04277242	SRS1168809			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i07										
SAMN04277243	SRS1168817			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC_i07										
SAMN04277244	SRS1168816			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A_i17										
SAMN04277245	SRS1168820			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_PC_i17										
SAMN04277246	SRS1168826			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i18										
SAMN04277247	SRS1168827			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC_i18										
SAMN04277248	SRS1168835			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i25										
SAMN04277249	SRS1168846			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC_i25										
SAMN04277250	SRS1168847			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A_i27										
SAMN04277251	SRS1168848			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC_i27										
SAMN04277252	SRS1168849			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A-i01										
SAMN04277253	SRS1168850			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A-i21										
SAMN04277254	SRS1168851			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A-i22										
SAMN04277255	SRS1168852			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A-i23										
SAMN04277256	SRS1168853			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_PC-i01										
SAMN04277257	SRS1168854			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_PC-i20										
SAMN04277258	SRS1168855			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A-i20										
SAMN04277259	SRS1168856			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	male		Blood	9606	Homo sapiens	den_A-i29										
SAMN04277260	SRS1168857			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-19; Homo sapiens		2015-11-19	female		Blood	9606	Homo sapiens	den_A-i03										
SAMN04277261	SRS1169191			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	female		Blood	9606	Homo sapiens	den_PC-i03										
SAMN04277262	SRS1169190			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	male		Blood	9606	Homo sapiens	den_A-i28										
SAMN04277263	SRS1169193			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	male		Blood	9606	Homo sapiens	den_PC-i28										
SAMN04277264	SRS1169192			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	female		Blood	9606	Homo sapiens	den_A-i13										
SAMN04277265	SRS1169194			B Cell					This sample has been submitted by pda|andres_aguilar on 2015-11-20; Homo sapiens		2015-11-20	female		Blood	9606	Homo sapiens	den_A-i15										
SAMN04283954	SRS1171389		BCBL1	B cell					This sample has been submitted by pda|crossetto@medicine.nevada.edu on 2015-11-21; Homo sapiens		2015-11-21			body cavity B cell lymphoma	9606	Homo sapiens	BCBL1										
SAMN04413874	SRS1248394		GM12878	B cell					input DNA		2016-03-05				9606	Homo sapiens	GSM2039168										
SAMN04413875	SRS1248393		GM12878	B cell					IgG control ChIP-seq		2016-03-05				9606	Homo sapiens	GSM2039169										
SAMN04413876	SRS1248392		GM12878	B cell					EBNA2 ChIP-seq		2016-03-05				9606	Homo sapiens	GSM2039170										
SAMN04482158	SRS1282731			B cell					rN.HC.1		2016-05-23				9606	Homo sapiens	GSM2058522										
SAMN04482159	SRS1282730			B cell					rN.HC.2		2016-05-23				9606	Homo sapiens	GSM2058523										
SAMN04482160	SRS1282728			B cell					rN.HC.3		2016-05-23				9606	Homo sapiens	GSM2058524										
SAMN04482161	SRS1282727			B cell					rN.HC.4		2016-05-23				9606	Homo sapiens	GSM2058525										
SAMN04482162	SRS1282729			B cell					rN.SLE.1		2016-05-23				9606	Homo sapiens	GSM2058526										
SAMN04482163	SRS1282726			B cell					rN.SLE.2		2016-05-23				9606	Homo sapiens	GSM2058527										
SAMN04482164	SRS1282725			B cell					rN.SLE.3		2016-05-23				9606	Homo sapiens	GSM2058528										
SAMN04482165	SRS1282724			B cell					rN.SLE.4		2016-05-23				9606	Homo sapiens	GSM2058529										
SAMN05570585	SRS1614000			B cell					HD07_U		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD07_U										
SAMN05570586	SRS1614001			B cell					HD07_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD07_M										
SAMN05570587	SRS1614013			B cell					HD07_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD07_N										
SAMN05570589	SRS1614034			B cell					HD09_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD09_M										
SAMN05570592	SRS1614037			B cell					HD09_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD09_N										
SAMN05570593	SRS1614038			B cell					HD09_U		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD09_U										
SAMN05570595	SRS1614002			B cell					HD10_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD10_N										
SAMN05570596	SRS1614003			B cell					HD10_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD10_M										
SAMN05570598	SRS1614005			B cell					HD10_U		2017-02-02	male		Peripheral blood	9606	Homo sapiens	HD10_U										
SAMN05570601	SRS1614008			B cell					HD13_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	HD13_N										
SAMN05570602	SRS1614009			B cell					HD13_U		2017-02-02	female		Peripheral blood	9606	Homo sapiens	HD13_U										
SAMN05570604	SRS1614010			B cell					HD13_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	HD13_M										
SAMN05570607	SRS1614015			B cell					MK08_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK08_N										
SAMN05570608	SRS1614016			B cell					MK08_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK08_M										
SAMN05570609	SRS1614017			B cell					MK02_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK02_N										
SAMN05570610	SRS1614018			B cell					MK02_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK02_M										
SAMN05570611	SRS1614019			B cell					MK03_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	MK03_M										
SAMN05570612	SRS1614020			B cell					MK03_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	MK03_N										
SAMN05570613	SRS1614021			B cell					AR03_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR03_M										
SAMN05570614	SRS1614022			B cell					AR03_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR03_N										
SAMN05570615	SRS1614024			B cell					AR04_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	AR04_N										
SAMN05570616	SRS1614025			B cell					AR04_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	AR04_M										
SAMN05570617	SRS1614026			B cell					AR02_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR02_N										
SAMN05570618	SRS1614027			B cell					AR02_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR02_M										
SAMN05570619	SRS1614028			B cell					AR05_M		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR05_M										
SAMN05570620	SRS1614029			B cell					AR05_N		2017-02-02	male		Peripheral blood	9606	Homo sapiens	AR05_N										
SAMN05570621	SRS1614030			B cell					MK04_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK04_M										
SAMN05570622	SRS1614031			B cell					MK04_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK04_N										
SAMN05570623	SRS1614032			B cell					MK05_M		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK05_M										
SAMN05570624	SRS1614033			B cell					MK05_N		2017-02-02	female		Peripheral blood	9606	Homo sapiens	MK05_N										
SAMN06044617	SRS1816014			B cell					ENCODE biosample  ENCBS483ENC: CD20+ B cells, caucasian, draw number 1	adult	2016-11-25	female			9606	Homo sapiens	ENCBS483ENC										
SAMN06044618	SRS1816015			B cell					ENCODE biosample  ENCBS484ENC: CD20+ B cells, African American, draw number 1	adult	2016-11-24	female			9606	Homo sapiens	ENCBS484ENC										
