Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-GEOD-51077	The tissue is the issue: Improved methylome analysis from paraffin-embedded tissues by application of the HOPE-technique	methylation profiling by array	Homo sapiens	36	2016-08-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-51077/E-GEOD-51077.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-51077/
E-GEOD-85828	Molecular, Phenotypic, and Sample-associated Data to Describe Pluripotent Stem Cell Lines and Derivatives	methylation profiling by array	Homo sapiens	114	2016-08-20	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-85828/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-85828/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-85828/
E-GEOD-79366	Spatial intratumor heterogeneity of epigenetic alterations in esophageal squamous cell carcinoma	methylation profiling by array	Homo sapiens	14	2016-08-20	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79366/E-GEOD-79366.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79366/E-GEOD-79366.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79366/
E-GEOD-81339	Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy	transcription profiling by array, methylation profiling by array	Homo sapiens	57	2016-08-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-81339/E-GEOD-81339.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-81339/
E-GEOD-81337	Methylome analysis reveals alterations in DNA methylation in the regulatory regions of left ventricle development genes in human dilated cardiomyopathy (methylation)	methylation profiling by array	Homo sapiens	27	2016-08-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-81337/E-GEOD-81337.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-81337/
E-GEOD-71523	Illumina HumanMethylation450 array data for Ovarian Cancer Samples	methylation profiling by array	Homo sapiens	22	2016-08-11	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71523/E-GEOD-71523.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71523/E-GEOD-71523.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71523/
E-GEOD-80794	Stilbenoids remodel the DNA methylation patterns in breast cancer cells and inhibit oncogenic NOTCH signaling through epigenetic regulation of MAML2 transcriptional activity	methylation profiling by array	Homo sapiens	12	2016-08-10	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80794/E-GEOD-80794.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80794/E-GEOD-80794.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80794/
E-GEOD-85296	Intra-individual tumoral heterogeneity of ovarian serous adenocarcinomas	comparative genomic hybridization by array, methylation profiling by array	Homo sapiens	45	2016-08-09	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-85296/E-GEOD-85296.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-85296/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-85296/
E-GEOD-85293	Intra-individual tumoral heterogeneity of ovarian serous adenocarcinomas [Illumina]	methylation profiling by array	Homo sapiens	16	2016-08-09	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-85293/E-GEOD-85293.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-85293/
E-GEOD-84727	An integrated genetic-epigenetic analysis of schizophrenia: Evidence for co-localization of genetic associations and differential DNA methylation	methylation profiling by array	Homo sapiens	847	2016-08-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-84727/
E-GEOD-80970	Cortical hypermethylation across an extended region spanning the HOXA gene cluster on chromosome 7 is robustly associated with Alzheimer's disease neuropathology	methylation profiling by array	Homo sapiens	286	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80970/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80970/
E-GEOD-80559	Evaluating the impact of sleep on genome-wide methylation levels in college students	methylation profiling by array	Homo sapiens	2	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80559/E-GEOD-80559.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80559/E-GEOD-80559.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80559/
E-GEOD-80417	An integrated genetic-epigenetic analysis of schizophrenia: Evidence for co-localization of genetic associations and differential DNA methylation	methylation profiling by array	Homo sapiens	675	2016-08-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80417/
E-GEOD-76399	The epigenetic signature of systemic insulin resistance in obese women	methylation profiling by array	Homo sapiens	236	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-76399/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-76399/
E-GEOD-76398	The epigenetic signature of systemic insulin resistance in obese women [SC]	methylation profiling by array	Homo sapiens	77	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-76398/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-76398/
E-GEOD-76394	The epigenetic signature of systemic insulin resistance in obese women [OM]	methylation profiling by array	Homo sapiens	79	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-76394/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-76394/
E-GEOD-76285	The epigenetic signature of systemic insulin resistance in obese women [BL]	methylation profiling by array	Homo sapiens	80	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-76285/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-76285/
E-GEOD-51196	Analysis of epigenetic changes in F-36P leukemic cells by arsenic disulfide treatment	methylation profiling by array	Homo sapiens	3	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-51196/E-GEOD-51196.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-51196/
E-GEOD-49504	Placental DNA methylation difference in spontaneous preterm delivery	methylation profiling by array	Homo sapiens	9	2016-07-25	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-49504/E-GEOD-49504.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-49504/
E-GEOD-79556	Genome-scale methylation assessment did not identify prognostic biomarkers in oral tongue carcinomas	methylation profiling by array	Homo sapiens	83	2016-07-18	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79556/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79556/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79556/
E-GEOD-84003	Genome-scale analysis of DNA methylation in rheumatic heart disease	methylation profiling by array	Homo sapiens	12	2016-07-06	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-84003/E-GEOD-84003.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-84003/
E-GEOD-68379	The landscape of pharmacogenomic interactions in human cancer	methylation profiling by array	Homo sapiens	1028	2016-07-05	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68379/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-68379/
E-GEOD-73832	Integrated DNA methylation and RNA expression in Small Intestinal neuroendocrine tumors	methylation profiling by array	Homo sapiens	133	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73832/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73832/
E-GEOD-62336	Methylome study in Nasopharyngeal Carcinoma (NPC)	methylation profiling by array	Homo sapiens	50	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-62336/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-62336/
E-GEOD-61744	Genome-wide profiling of PARP1 reveals an interplay with gene regulatory regions and DNA methylation	methylation profiling by array	Homo sapiens	2	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61744/E-GEOD-61744.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61744/
E-GEOD-52635	A Composite Framework for the Statistical Analysis of Epidemiological DNA Methylation Data with the Infinium Human Methylation 450K BeadChip	methylation profiling by array	Homo sapiens	114	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-52635/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-52635/
E-GEOD-47880	Array-based determination of DNA methylation in children born small for gestational age	methylation profiling by array	Homo sapiens	110	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-47880/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-47880/
E-GEOD-45469	Induced Pluripotency of Human Prostatic Epithelial Cells	methylation profiling by array	Homo sapiens	10	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-45469/E-GEOD-45469.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-45469/
E-GEOD-73626	Genome-wide DNA methylation study of hip and knee osteoarthritic and healthy cartilage reveals embryonic organ and skeletal system morphogenesis as major pathways involved in osteoarthritis	methylation profiling by array	Homo sapiens	18	2016-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73626/E-GEOD-73626.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73626/E-GEOD-73626.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73626/
E-GEOD-71719	DNA methylation and hydroxymethylation assessment through 450K analysis of paired bisulfite and oxidative-bisulfite conversion	methylation profiling by array	Homo sapiens	46	2016-07-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71719/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71719/
E-GEOD-71678	DNA methylation anaylsis of placenta samples exposed to variable levels of arsenic during pregnancy	methylation profiling by array	Homo sapiens	343	2016-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71678/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71678/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71678/
E-GEOD-71245	Integrative analysis of methylome and transcriptome in human blood identifies extensive sex and immune cell-specific differentially methylated regions	transcription profiling by array, methylation profiling by array	Homo sapiens	48	2016-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71245/E-GEOD-71245.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71245/
E-GEOD-71244	Integrative analysis of methylome and transcriptome in human blood identifies extensive sex and immune cell-specific differentially methylated regions [methylation]	methylation profiling by array	Homo sapiens	24	2016-07-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71244/E-GEOD-71244.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71244/
E-GEOD-74693	Genome-wide methylation analysis of esophageal squamous cell carcinoma using Infinium HumanMethylation 450 BeadChip	methylation profiling by array	Homo sapiens	10	2016-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74693/E-GEOD-74693.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-74693/
E-GEOD-81452	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [iPSCs_methylation 2]	methylation profiling by array	Homo sapiens	12	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-81452/E-GEOD-81452.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-81452/
E-GEOD-73630	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [iPSCs_methylation]	methylation profiling by array	Homo sapiens	9	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73630/E-GEOD-73630.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73630/
E-GEOD-60924	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells	transcription profiling by array, methylation profiling by array	Homo sapiens	181	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60924/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60924/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60924/
E-GEOD-60923	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [parental_lines_methylation]	methylation profiling by array	Homo sapiens	16	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60923/E-GEOD-60923.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60923/
E-GEOD-60821	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [undiff_iPSESCs_methylation]	methylation profiling by array	Homo sapiens	39	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60821/E-GEOD-60821.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60821/
E-GEOD-60816	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [PSCusedfor_iPSDMRs_methylation]	methylation profiling by array	Homo sapiens	6	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60816/E-GEOD-60816.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60816/
E-GEOD-60811	Reprogramming-associated aberrant DNA methylation determines hematopoietic differentiation capacity of human induced pluripotent stem cells [PSCderived_HPCs_methylation]	methylation profiling by array	Homo sapiens	10	2016-06-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60811/E-GEOD-60811.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60811/
E-GEOD-83379	Mapping epigenetic changes to the host cell genome induced by Burkholderia pseudomallei reveals pathogen-specific and pathogen-generic signatures of infection	methylation profiling by array	Homo sapiens	18	2016-06-16	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-83379/E-GEOD-83379.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-83379/E-GEOD-83379.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-83379/
E-GEOD-83334	Longitudinal study of DNA methylation during the first 5 years of life	methylation profiling by array	Homo sapiens	30	2016-06-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-83334/E-GEOD-83334.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-83334/
E-GEOD-75248	Novel Regions of Variable DNA Methylation in Human Placenta associated with Newborn Neurobehavioral Traits	methylation profiling by array	Homo sapiens	335	2016-06-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75248/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75248/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75248/
E-GEOD-64244	Genome-wide DNA methylation analysis of uniparental disomy cases reveals many novel imprinted loci in the human genome	methylation profiling by array	Homo sapiens	66	2016-06-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-64244/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64244/
E-GEOD-74845	Epigenetic reprogramming of Fallopian tube fimbriae in BRCA mutation carriers defines early ovarian cancer evolution	methylation profiling by array	Homo sapiens	216	2016-05-19	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74845/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-74845/
E-GEOD-77283	Genome-wide methylation profiles of menstrual blood and vaginal fluid	methylation profiling by array	Homo sapiens	12	2016-05-14	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77283/E-GEOD-77283.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77283/
E-GEOD-77955	Global gene expression and methylation analysis of development and progression of colorectal carcinoma	transcription profiling by array, methylation profiling by array	Homo sapiens	106	2016-05-13	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77955/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77955/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77955/
E-GEOD-77954	Global methylation analysis of development and progression of colorectal carcinoma	methylation profiling by array	Homo sapiens	48	2016-05-13	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77954/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77954/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77954/
E-GEOD-74609	Comprehensive DNA methylation and gene expression profiling in differentiating human adipocytes	methylation profiling by array	Homo sapiens	9	2016-04-13	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74609/E-GEOD-74609.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74609/E-GEOD-74609.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-74609/
E-GEOD-79969	EpiPrem Study	methylation profiling by array	Homo sapiens	14	2016-04-07	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79969/E-GEOD-79969.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79969/
E-GEOD-67705	Methylome-wide analysis of chronic HIV infected patients and healthy controls	methylation profiling by array	Homo sapiens	284	2016-04-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67705/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67705/
E-GEOD-70787	Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma	methylation profiling by array	Homo sapiens	158	2016-04-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70787/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70787/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70787/
E-GEOD-70783	Genome-wide methylation profiles in primary intracranial germ cell tumors indicate primordial germ cell origin of germinoma [Illumina]	methylation profiling by array	Homo sapiens	77	2016-04-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70783/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70783/
E-GEOD-79695	Molecular alterations in bone marrow mesenchymal stromal cells (BM-MSC) derived from acute myeloid leukemia patients (AML)	methylation profiling by array	Homo sapiens	44	2016-03-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79695/E-GEOD-79695.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79695/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79695/
E-GEOD-69954	DNA methylation adds prognostic value to minimal residual disease status in pediatric T-cell acute lymphoblastic leukemia	methylation profiling by array	Homo sapiens	65	2016-03-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69954/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-69954/
E-GEOD-77445	Genome-wide DNA methylation levels and altered cortisol stress reactivity following childhood trauma in humans	methylation profiling by array	Homo sapiens	85	2016-03-16	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77445/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77445/
E-GEOD-71457	Derivation and differentiation of haploid human embryonic stem cells [methylation array]	methylation profiling by array	Homo sapiens	12	2016-03-16	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71457/E-GEOD-71457.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71457/E-GEOD-71457.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71457/
E-GEOD-70303	Identification of DNA methylation-independent epigenetic events underlying clear cell renal cell carcinoma	methylation profiling by array	Homo sapiens	24	2016-03-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70303/E-GEOD-70303.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70303/
E-GEOD-79122	Integrative functional genomic analysis identifies epigenetically regulated Fibromodulin as an essential gene for glioma cell migration	methylation profiling by array	Homo sapiens	78	2016-03-12	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79122/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79122/
E-GEOD-79064	DNA methylation profiling in human Huntington's Disease brain	methylation profiling by array	Homo sapiens	18	2016-03-11	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79064/E-GEOD-79064.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79064/E-GEOD-79064.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79064/
E-GEOD-79056	Nashville Birth Cohort	methylation profiling by array	Homo sapiens	36	2016-03-11	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79056/E-GEOD-79056.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79056/
E-GEOD-72277	DNA methylation profiling to assess pathogenicity of BRCA1 unclassified variants in breast cancer	methylation profiling by array	Homo sapiens	60	2016-03-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72277/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-72277/
E-GEOD-67393	Sex differences of leukocytes DNA methylation	methylation profiling by array	Homo sapiens	117	2016-03-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67393/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-67393/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-67393/
E-GEOD-75067	Genome-wide DNA methylation analysis of breast cancer	methylation profiling by array	Homo sapiens	188	2016-02-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75067/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75067/
E-GEOD-74877	Genome-wide DNA methylation analysis of different cell types	methylation profiling by array	Homo sapiens	24	2016-02-29	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74877/E-GEOD-74877.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-74877/
E-GEOD-73801	DNA methylation data from CNS-PNETs and various other brain tumor samples	methylation profiling by array	Homo sapiens	585	2016-02-25	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73801/
E-GEOD-72556	Maternal Weight Phenotype as a Predictor of Methylation of Obesity-Related CpG Sites in Saliva Samples from Latino Children	methylation profiling by array	Homo sapiens	96	2016-02-25	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72556/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72556/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-72556/
E-GEOD-73950	The influence of menstrual cycle and endometriosis on endometrial methylome	methylation profiling by array	Homo sapiens	43	2016-02-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73950/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73950/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73950/
